"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2010S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2010S1","Estonia","Euro","278.02",""
"2010S1","Ireland","Euro","1,461.85",""
"2010S1","Greece","Euro","862.82",""
"2010S1","Spain","Euro","738.85",""
"2010S1","France","Euro","1,343.77",""
"2010S1","Croatia","Euro","385.48",""
"2010S1","Italy","Euro",":","z"
"2010S1","Cyprus","Euro",":","z"
"2010S1","Latvia","Euro","253.77",""
"2010S1","Lithuania","Euro","231.70",""
"2010S1","Luxembourg","Euro","1,682.76",""
"2010S1","Hungary","Euro","271.80",""
"2010S1","Malta","Euro","659.92",""
"2010S1","Netherlands","Euro","1,407.60",""
"2010S1","Austria","Euro",":","z"
"2010S1","Poland","Euro","320.87",""
"2010S1","Portugal","Euro","554.17",""
"2010S1","Romania","Euro","141.63",""
"2010S1","Slovenia","Euro","597.43",""
"2010S1","Slovakia","Euro","307.70",""
"2010S1","Finland","Euro",":","z"
"2010S1","Sweden","Euro",":","z"
"2010S1","Iceland","Euro",":","z"
"2010S1","Norway","Euro",":","z"
"2010S1","Switzerland","Euro",":","z"
"2010S1","United Kingdom","Euro","1,076.46",""
"2010S1","Montenegro","Euro",":",""
"2010S1","North Macedonia","Euro",":","z"
"2010S1","Albania","Euro","130.47",""
"2010S1","Serbia","Euro","222.37",""
"2010S1","Turkey","Euro","338.33",""
"2010S1","United States","Euro","872.32",""
"2010S2","Belgium","Euro","1,387.50",""
"2010S2","Bulgaria","Euro","122.71",""
"2010S2","Czechia","Euro","311.39",""
"2010S2","Denmark","Euro",":","z"
"2010S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2010S2","Estonia","Euro","278.02",""
"2010S2","Ireland","Euro","1,461.85",""
"2010S2","Greece","Euro","862.82",""
"2010S2","Spain","Euro","738.85",""
"2010S2","France","Euro","1,343.77",""
"2010S2","Croatia","Euro","390.94",""
"2010S2","Italy","Euro",":","z"
"2010S2","Cyprus","Euro",":","z"
"2010S2","Latvia","Euro","253.77",""
"2010S2","Lithuania","Euro","231.70",""
"2010S2","Luxembourg","Euro","1,724.81",""
"2010S2","Hungary","Euro","256.99",""
"2010S2","Malta","Euro","659.92",""
"2010S2","Netherlands","Euro","1,416.00",""
"2010S2","Austria","Euro",":","z"
"2010S2","Poland","Euro","317.58",""
"2010S2","Portugal","Euro","554.17",""
"2010S2","Romania","Euro","137.30",""
"2010S2","Slovenia","Euro","734.15",""
"2010S2","Slovakia","Euro","307.70",""
"2010S2","Finland","Euro",":","z"
"2010S2","Sweden","Euro",":","z"
"2010S2","Iceland","Euro",":","z"
"2010S2","Norway","Euro",":","z"
"2010S2","Switzerland","Euro",":","z"
"2010S2","United Kingdom","Euro","1,169.49",""
"2010S2","Montenegro","Euro",":",""
"2010S2","North Macedonia","Euro",":","z"
"2010S2","Albania","Euro","139.25",""
"2010S2","Serbia","Euro","203.29",""
"2010S2","Turkey","Euro","392.01",""
"2010S2","United States","Euro","1,024.09",""
"2011S1","Belgium","Euro","1,415.24",""
"2011S1","Bulgaria","Euro","122.71",""
"2011S1","Czechia","Euro","319.22",""
"2011S1","Denmark","Euro",":","z"
"2011S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2011S1","Estonia","Euro","278.02",""
"2011S1","Ireland","Euro","1,461.85",""
"2011S1","Greece","Euro","862.82",""
"2011S1","Spain","Euro","748.30",""
"2011S1","France","Euro","1,365.00",""
"2011S1","Croatia","Euro","381.15",""
"2011S1","Italy","Euro",":","z"
"2011S1","Cyprus","Euro",":","z"
"2011S1","Latvia","Euro","281.93",""
"2011S1","Lithuania","Euro","231.70",""
"2011S1","Luxembourg","Euro","1,757.56",""
"2011S1","Hungary","Euro","280.63",""
"2011S1","Malta","Euro","664.95",""
"2011S1","Netherlands","Euro","1,424.40",""
"2011S1","Austria","Euro",":","z"
"2011S1","Poland","Euro","348.68",""
"2011S1","Portugal","Euro","565.83",""
"2011S1","Romania","Euro","157.20",""
"2011S1","Slovenia","Euro","748.10",""
"2011S1","Slovakia","Euro","317.00",""
"2011S1","Finland","Euro",":","z"
"2011S1","Sweden","Euro",":","z"
"2011S1","Iceland","Euro",":","z"
"2011S1","Norway","Euro",":","z"
"2011S1","Switzerland","Euro",":","z"
"2011S1","United Kingdom","Euro","1,136.22",""
"2011S1","Montenegro","Euro",":",""
"2011S1","North Macedonia","Euro",":","z"
"2011S1","Albania","Euro","136.92",""
"2011S1","Serbia","Euro","212.88",""
"2011S1","Turkey","Euro","384.89",""
"2011S1","United States","Euro","940.48",""
"2011S2","Belgium","Euro","1,443.54",""
"2011S2","Bulgaria","Euro","122.71",""
"2011S2","Czechia","Euro","328.61",""
"2011S2","Denmark","Euro",":","z"
"2011S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2011S2","Estonia","Euro","278.02",""
"2011S2","Ireland","Euro","1,461.85",""
"2011S2","Greece","Euro","876.62",""
"2011S2","Spain","Euro","748.30",""
"2011S2","France","Euro","1,365.00",""
"2011S2","Croatia","Euro","380.18",""
"2011S2","Italy","Euro",":","z"
"2011S2","Cyprus","Euro",":","z"
"2011S2","Latvia","Euro","281.97",""
"2011S2","Lithuania","Euro","231.70",""
"2011S2","Luxembourg","Euro","1,757.56",""
"2011S2","Hungary","Euro","293.11",""
"2011S2","Malta","Euro","664.95",""
"2011S2","Netherlands","Euro","1,435.20",""
"2011S2","Austria","Euro",":","z"
"2011S2","Poland","Euro","347.34",""
"2011S2","Portugal","Euro","565.83",""
"2011S2","Romania","Euro","157.89",""
"2011S2","Slovenia","Euro","748.10",""
"2011S2","Slovakia","Euro","317.00",""
"2011S2","Finland","Euro",":","z"
"2011S2","Sweden","Euro",":","z"
"2011S2","Iceland","Euro",":","z"
"2011S2","Norway","Euro",":","z"
"2011S2","Switzerland","Euro",":","z"
"2011S2","United Kingdom","Euro","1,083.60",""
"2011S2","Montenegro","Euro",":",""
"2011S2","North Macedonia","Euro",":","z"
"2011S2","Albania","Euro","141.43",""
"2011S2","Serbia","Euro","234.88",""
"2011S2","Turkey","Euro","356.17",""
"2011S2","United States","Euro","869.48",""
"2012S1","Belgium","Euro","1,443.54",""
"2012S1","Bulgaria","Euro","138.05",""
"2012S1","Czechia","Euro","310.23",""
"2012S1","Denmark","Euro",":","z"
"2012S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2012S1","Estonia","Euro","290.00",""
"2012S1","Ireland","Euro","1,461.85",""
"2012S1","Greece","Euro","876.62",""
"2012S1","Spain","Euro","748.30",""
"2012S1","France","Euro","1,398.37",""
"2012S1","Croatia","Euro","373.36",""
"2012S1","Italy","Euro",":","z"
"2012S1","Cyprus","Euro",":","z"
"2012S1","Latvia","Euro","285.92",""
